Donor_ID,Phone_number,First_name,Last_Name,Iron_count,Weight,Age
201082,2361937282,Florian,Gillespie,13.03,141,34
201217,1380488353,Joy,Best,14.62,214,28
201732,1328808448,Leander,Petty,13.27,202,18
203211,5951750038,Lucian,Green,18.82,119,35
204454,4596443914,Lucious,Griffin,18.75,242,47
205038,3732813622,Wayland,Caldwell,18.97,248,50
205667,9127631748,Chauncey,Ramsey,16.49,196,22
206651,9491511046,Cleon,Farmer,16.69,215,49
206768,3051423528,Colin,Hubbard,19.31,229,41
206815,8183804117,Errol,Hampton,14.15,191,52
208416,8984848713,Gustave,Wilkins,12.70,129,20
208460,7615355300,Joaquin,Whitaker,15.14,167,29
208871,1083489062,Llewellyn,Copeland,17.47,157,38
208901,2737812581,Nicolas,Wyatt,14.26,193,49
211124,4578598171,Rosario,Hensley,12.52,187,52
211210,5302568095,Webster,Beasley,15.36,211,45
212911,4447166257,Werner,Middleton,12.71,158,22
213205,7037452960,Adolphus,Mccarty,13.27,222,21
213460,3675657183,Darvin,Compton,15.03,133,51
213724,8673592811,Hurley,Riggs,19.20,171,47
214211,6674501353,Marc,Jones,13.75,111,38
214325,1957228559,Otho,Walker,16.82,206,27
214701,7588406925,Stacy,Butler,16.99,196,59
215120,2739571237,Verlyn,Simmons,15.21,204,26
215766,1039841930,Adolfo,Woods,12.64,145,31
217802,4679739688,Arley,Payne,12.64,156,48
218929,9705447533,Brooks,Watts,16.59,224,35
221260,8432637293,Clarke,Mcgee,17.45,221,40
222313,9726639453,Dock,Reese,12.92,213,42
225556,6164534483,Foy,Cobb,14.80,153,36
226150,2418285742,Hayden,Greer,14.80,207,37
229619,6161496928,Humberto,Conley,13.04,216,48
231330,1888324791,Ian,Bradford,17.59,210,48
232290,1315178003,Lambert,Cline,14.25,232,62
234629,1794827931,Lindsay,Golden,13.57,181,62
235021,3610468566,Murphy,Stafford,19.73,130,22
237900,1526743869,Omar,Mccall,15.21,228,43
238171,1951865881,Reggie,Bradshaw,18.94,213,50
240690,5034991180,Sol,House,18.34,147,59
242369,4880034355,Author,Giles,16.69,113,18
245331,7499346147,Cedric,Maynard,16.99,141,40
247720,6904924188,Geoffrey,Davila,13.30,199,57
248003,2084560357,Jonnie,Odom,13.33,171,37
250276,5353089012,Josh,Ferrell,12.74,162,46
250848,9510257498,Logan,Harris,17.95,144,35
251115,7158790437,Mel,Richardson,15.88,205,63
251751,3780490749,Merl,Gibson,16.77,188,35
253238,5863455222,Norwood,Harper,17.80,128,35
255212,9640562981,Rowland,Carr,16.93,187,39
258116,1996577345,Ruth,Howell,14.25,110,48
258458,1554175024,Sergio,Little,18.34,236,60
266247,4841865998,Alois,Holland,14.77,219,53
266543,6829577151,Arlis,Wade,15.07,246,58
267611,9522085274,Audrey,Barnett,14.78,188,51
268244,9028767384,Aurelio,Chambers,12.64,161,31
268458,6119499421,Clint,Shelton,18.80,245,59
268505,2731569357,Dino,Strickland,14.75,200,25
269541,9769128565,Evert,Glover,17.47,122,30
269923,7812471376,Gonzalo,Pope,16.59,179,23
271744,2980281551,Harrell,Cochran,14.24,239,57
272294,7541357402,Herb,Combs,15.83,196,57
272945,2847304212,Hobart,Hancock,15.04,196,37
273393,6411776253,Huston,Glenn,16.76,112,39
274086,7870558717,Kenton,Gilmore,13.75,155,42
274149,6707381013,Lawson,Ware,18.97,240,49
275446,7218840833,Nevin,Hurst,19.09,233,63
278764,1466938739,Orin,Hardin,16.40,250,49
278974,5898370115,Prentice,Leblanc,16.99,216,36
279137,1932307715,Rexford,Pugh,12.41,205,28
282127,7252914940,Todd,Cantrell,15.31,239,59
284560,6446585682,Watson,Hatfield,15.21,113,26
285052,1884438264,Wyman,Ritter,13.23,121,57
287183,4498924296,Ardell,Haney,14.62,135,48
288447,8661840898,Burnell,Cooley,17.71,175,62
289958,8529125618,Clare,Williams,15.82,144,55
294114,7263124338,Del,Moore,18.58,131,57
294758,9753006541,Dell,Robinson,12.64,213,54
297427,7287789525,Derrell,Collins,16.76,197,35
297854,7645733465,Douglass,Patterson,13.45,154,52
298237,8573978688,Edison,Ford,13.30,159,39
298649,5525060112,Federico,Wells,15.86,223,63
298964,8979202164,Harlow,Freeman,14.77,177,26
300160,3562990399,Henderson,Hicks,14.75,177,23
301573,7633153127,Hershell,Stephens,18.86,120,46
303143,9379267891,Hilario,Hawkins,14.09,217,22
303536,4972826480,Ike,Frazier,19.07,120,30
304515,7442830005,Isadore,Sutton,14.49,126,49
308524,7728818752,Jorge,Norris,16.50,217,38
310907,7840675224,Layton,Graves,13.55,160,42
313999,7280302461,Lenwood,Thornton,17.80,228,47
314938,8533265040,Lonzo,Espinoza,16.43,238,42
314974,6345870519,Pearl,Griffith,15.07,229,32
315536,7170590599,Quinton,Moss,16.03,139,47
315745,9067490184,Williams,Garner,15.18,194,50
318079,8515438402,Berry,Waters,18.14,241,32
320437,3992580741,Burley,Moody,15.03,216,49
320661,2835372574,Cameron,Underwood,15.65,191,23
320780,9910237535,Claire,Poole,18.71,153,43
321429,7560860162,Donnell,Collier,15.03,173,46
323573,2675496735,Gaston,Bridges,15.02,168,59
324188,9545221527,Robert,Russo,16.79,184,43
325412,9112042193,James,Wilkerson,17.45,249,23
325500,6337265564,John,Kemp,14.78,129,49
325734,9448759442,William,Knox,16.64,179,62
326007,6627288844,Richard,Mcintosh,13.43,146,35
327156,3977070059,Charles,Blackburn,16.09,189,42
327779,2042347628,Donald,Vaughan,13.75,238,65
329339,9250155368,David,Church,12.55,182,46
329494,4541361839,Thomas,Holden,15.34,155,38
330920,3046253764,George,Gonzalez,15.72,129,51
332780,9041690756,Ronald,Stewart,14.31,126,52
333595,5928595200,Joseph,Howard,19.30,234,36
333667,5546575207,Edward,Myers,12.64,206,54
336541,2824696777,Kenneth,Powell,14.90,208,54
336588,1840546237,Paul,Henderson,17.06,129,28
338242,1966344150,Larry,Hayes,18.40,120,62
338249,7884052702,Jerry,Webb,13.53,160,61
338357,5455373137,Frank,Dixon,18.11,147,33
340720,7928668839,Raymond,Mccoy,18.00,115,56
350390,5904214917,Gerald,Hines,18.82,207,28
350518,2353067743,Harold,Cannon,17.61,192,64
355589,6127113818,Billy,Osborne,16.73,175,30
358479,2503246872,Jack,Bowers,16.21,213,56
359771,2889064081,Bobby,Conner,16.51,151,27
360416,5827265885,Joe,Mcbride,12.50,240,57
361388,1744134845,Walter,Shepherd,16.79,211,44
361542,8197033695,Michael,Clayton,17.95,198,57
361837,9080318213,Carl,Hodge,15.74,233,33
364108,1082682518,Gary,Parrish,15.72,208,43
366274,7529864059,Henry,Mcdowell,16.50,192,31
366949,9717104498,Arthur,Wiley,15.93,182,63
369425,8875885001,Willie,Calhoun,19.95,155,38
370906,7290734608,Eugene,Hickman,15.03,182,64
371519,4789588375,Ralph,Clements,16.77,148,25
372092,6734237338,Fred,Waller,16.98,184,58
372593,5047693478,Roger,Chaney,13.66,181,56
373110,4667064666,Albert,Mcknight,19.30,175,39
373429,5014443257,Lawrence,Taylor,13.03,241,19
374234,3453731556,Daniel,White,14.72,223,19
374775,2913231923,Roy,Mitchell,14.39,159,32
376238,6061053248,Harry,Carter,13.23,204,51
377166,3873529779,Howard,Cox,14.05,163,24
378327,4045554388,Norman,Hughes,13.80,136,37
380459,3611844311,Wayne,West,19.40,240,48
381752,2721021965,Jimmy,Hudson,15.07,173,54
383188,7411451219,Louis,Duncan,19.42,176,49
383546,6515020209,Anthony,Riley,15.61,128,37
385190,8403170497,Earl,Greene,18.93,191,50
386440,7076579590,Marvin,Williamson,13.44,178,45
387268,2945316062,Melvin,Rios,12.77,239,58
387538,4654781586,Don,Hardy,16.40,151,26
388035,4660004992,Peter,Harmon,18.41,125,35
388701,1142277705,Ernest,Patton,16.96,181,52
390747,5738265854,Clarence,Gibbs,18.78,143,57
394344,1434728604,Francis,Burnett,15.22,114,49
395555,4888975238,Leroy,Bass,13.20,171,34
395857,3065668562,Leonard,Atkins,17.95,134,57
396762,5515843560,Stanley,Vance,12.91,142,61
397233,7558466942,Dale,Orozco,16.43,133,31
398467,1679830764,Alfred,Mccullough,16.92,142,54
401160,3418069357,Gene,Stout,12.51,208,37
401801,6287021866,Philip,Knapp,18.11,218,44
402186,8943360001,Dennis,Everett,13.14,239,31
404099,2957760137,Bill,Landry,18.91,242,58
404820,6057770402,Herbert,Herring,13.19,189,53
405383,3733474390,Samuel,Ashley,14.44,195,44
406998,8565697550,Russell,Sheppard,17.04,213,64
407998,7293040296,Frederick,Coffey,19.50,250,46
410926,8783127931,Johnny,Mercer,17.04,202,57
412009,8638677388,Bruce,Downs,18.97,205,62
414335,4453366106,Ray,Bolton,12.52,161,64
414688,2308453875,Jimmie,Smith,13.70,121,40
416625,6536923346,Bernard,Davis,13.45,192,58
417612,4442686874,Douglas,Wright,18.86,176,39
419283,2605475941,Gordon,Evans,14.75,239,65
420860,1417292847,Franklin,Edwards,13.33,141,47
421354,4623567536,Allen,Cooper,12.73,216,42
423386,3028946487,Lee,Reed,16.49,159,23
424836,8271707032,Andrew,Bailey,19.34,132,42
425141,9223400018,Floyd,Ward,13.23,200,23
429165,5257173165,Bob,Barnes,15.72,110,42
432130,1276236231,Jim,Crawford,17.57,236,65
432479,3333721297,Eddie,Hunter,18.58,192,31
432572,1919582619,Tommy,Mills,13.97,213,36
433437,4771216601,Leon,Rice,16.21,152,56
433893,9741882232,Theodore,Weaver,13.53,113,49
434429,3496797663,Martin,Pierce,14.77,246,55
435776,3931864729,Glenn,Knight,18.94,232,24
436344,3989449578,Edwin,Bradley,16.62,110,44
437021,2081604732,Clifford,Fowler,19.58,150,62
438356,9621920502,Lloyd,Horton,13.20,163,22
438433,9874429433,Stephen,Klein,15.86,182,51
438869,7582923720,Clyde,Sparks,15.72,208,62
439606,5456888887,Patrick,Shaffer,13.19,188,59
441705,3806873999,Harvey,Hoover,18.41,177,29
443188,2603731628,Vernon,Rivas,14.77,223,43
444535,5719431684,Leo,Huff,13.70,162,64
447692,7232521907,Phillip,Hood,18.42,149,36
448011,3759464356,Alvin,Skinner,12.78,119,59
448578,6790148822,Jerome,Kirby,13.79,214,38
449218,1949365063,Herman,Garrison,16.73,131,33
453032,6724945949,Jesse,Heath,15.21,220,19
453698,1596807844,Alan,Dalton,13.70,174,64
453865,9961666449,Vincent,Mcclure,15.33,155,39
453888,5065933829,Lewis,Ellison,13.27,158,42
455328,7626337151,Warren,Glass,19.02,138,25
456270,5451700551,Jackie,Randolph,13.14,156,21
456365,3416481244,Tom,Acevedo,13.99,123,44
460428,7627890671,Curtis,Friedman,12.61,188,41
460647,6999824557,Charlie,Haley,16.69,146,51
461396,6170401865,Arnold,Dudley,14.72,248,32
467286,2750032487,Terry,Galloway,13.55,119,38
467384,5939342249,Gilbert,Holder,15.03,178,26
467583,1418025791,Cecil,Gamble,17.57,207,33
468092,9945730241,Duane,Brown,14.72,242,20
468731,6996863208,Lester,Clark,12.41,182,25
468926,3543934787,Victor,Allen,14.77,167,52
470877,5900078379,Johnnie,Scott,13.27,210,63
472373,5945199368,Benjamin,Bell,15.31,215,41
473849,5548836331,Elmer,Brooks,18.42,239,57
473896,6709633825,Milton,Bennett,15.61,114,49
473958,3791609543,Glen,Robertson,16.33,152,56
475236,9865984956,Keith,Boyd,15.74,237,51
475293,1078620215,Allan,Nichols,17.44,145,19
475367,4955526790,Calvin,Grant,13.55,117,51
477261,2627589035,Roland,Cunningham,14.80,187,55
477389,5876835375,Dean,Wheeler,12.77,162,50
478213,7670988350,Ronnie,Harvey,18.63,198,55
478335,3403510070,Chester,Burton,13.48,192,28
478722,8319772907,Darrell,Curtis,13.29,132,53
480618,5591611950,Leslie,Bates,13.78,113,25
481266,7244362469,Sam,Steele,14.15,235,64
481585,3625429427,Wallace,Terry,17.79,198,65
482492,7718448764,Willard,Baldwin,19.20,140,24
482953,5559962207,Freddie,Robbins,15.69,242,54
484114,3131156490,Claude,Higgins,13.28,214,32
484251,9700174633,Jay,Bowen,19.20,135,47
485292,4712456085,Manuel,Cross,14.82,249,18
490944,1257699066,Joel,Gross,18.42,221,26
492517,3377868317,Marion,Goodwin,15.03,215,64
492707,9395439367,Max,Parsons,17.37,155,43
493807,3551959000,Jose,Mccormick,19.31,160,41
493897,1712783211,Hugh,Hogan,12.83,153,32
494607,5924495267,Edgar,Drake,16.92,119,33
495619,4745287933,Maurice,Nicholson,16.61,117,25
495869,7005207091,Wesley,Decker,13.97,133,64
499351,3712371951,Ted,Davenport,17.06,214,61
501646,6327730261,Jessie,Kirk,14.08,214,65
503838,1807378195,Dan,Atkinson,15.14,249,23
504039,2293530959,Jon,Melton,15.45,241,55
504667,2002221184,Rodney,Small,13.70,227,53
506568,3103532889,Danny,Nolan,12.60,132,24
507306,1052628068,Dick,Mcconnell,16.29,191,58
509437,3488072673,Oscar,Potts,19.20,185,22
509449,8011794500,Lowell,Rush,18.47,196,49
510515,8082050709,Everett,Blanchard,19.20,210,54
511156,7665307966,Virgil,Frye,18.41,137,64
511909,1197262961,Neil,Moyer,15.03,215,63
512367,3416757483,Nicholas,Sanford,18.47,199,62
512634,8391494787,Tony,Faulkner,14.78,197,24
513130,4012993281,Delbert,Proctor,12.84,154,27
514199,2925810481,Karl,Johnson,15.45,128,55
514557,9285101948,Sidney,Miller,17.61,247,50
515076,5817465203,Hubert,Hill,14.44,210,19
515212,9683499676,Homer,Rogers,18.42,137,34
515635,6443981745,Bennie,Morgan,13.03,142,57
516162,7643968314,Lyle,Price,12.52,177,25
518039,3320346210,Mike,Fisher,14.62,143,21
518184,5779871204,Luther,Reynolds,17.32,123,36
519595,2870202715,Lonnie,Graham,15.10,130,58
521088,2051300904,Morris,Marshall,12.52,118,43
521425,8435776725,Steve,Harrison,18.42,224,27
521665,5614689085,Alton,Porter,13.31,175,45
522437,1940524943,Earnest,Mason,12.52,134,61
525836,4159795046,Ben,Black,16.49,241,42
526568,5131838226,Mark,Elliott,16.86,144,29
526829,5551410859,Marshall,Chapman,17.89,173,44
530926,5115254032,Carroll,Gilbert,15.21,198,37
531618,2320164613,Benny,Schultz,14.52,117,46
532403,3451479164,Horace,Bowman,15.34,167,21
532970,8503147626,Guy,Hopkins,13.79,211,58
533362,2756048446,Wilbur,Keller,16.61,243,56
534180,6986573916,Barry,Cohen,15.72,161,38
539385,7929831144,Willis,Neal,14.52,132,64
541077,5518228093,Billie,Mclaughlin,14.80,117,48
541382,7596052780,Nathaniel,Rodgers,15.10,241,60
541657,4059157403,Lynn,Manning,12.70,134,22
543319,5343454939,Clayton,Curry,20.00,123,31
543495,5957102828,Otis,Blake,17.37,205,59
547089,2121138171,Roosevelt,Hodges,18.63,155,30
547703,8326860830,Timothy,Norman,15.20,240,34
548672,4822184751,Alexander,Marsh,15.82,121,58
548944,5996572579,Clifton,Houston,15.82,225,55
549364,3282079378,Clinton,Monroe,13.19,214,58
549917,8858416805,Nelson,Callahan,19.13,118,31
552563,2734126029,Archie,Shields,17.79,191,56
554488,6585037461,Rudolph,Savage,18.78,224,25
555255,1165508822,Stuart,Browning,13.22,240,47
557202,2530080309,Donnie,Sloan,17.72,199,63
558828,4040490204,Oliver,Sellers,12.41,156,22
558862,7516391805,Matthew,Boyle,18.42,230,48
560496,9865740415,Fredrick,Mcmillan,18.77,151,41
562182,8875826819,Rex,Crosby,19.20,171,19
563066,2009337935,Bobbie,Dougherty,17.44,132,30
565174,6990399788,Dave,Dodson,12.91,250,46
565518,6820070009,Wendell,Finley,17.72,110,45
566275,2099030456,Doyle,Horne,17.45,131,55
566301,8275928660,Ira,Nixon,16.61,222,33
567215,2883820409,Juan,Donaldson,15.21,171,48
567290,3296912099,Julius,Schmitt,13.82,125,18
568200,3394213313,Alex,Hester,18.86,131,52
568429,7242263300,Junior,Haas,15.88,226,20
568461,2969255010,Leland,Riddle,12.61,216,30
568840,2559141878,Tommie,Cowan,15.10,235,54
570417,5693275762,Wilbert,Campbell,14.75,237,56
571029,9719536626,Buddy,Morris,17.80,185,44
574533,7487627382,Carlton,Murphy,18.47,201,32
575566,8464272619,Ivan,Russell,15.07,144,44
576225,5572690268,Perry,Wallace,18.85,240,30
577969,3534598870,Sherman,Cole,12.75,246,52
579061,8805410464,Troy,Mcdonald,18.58,177,65
580665,6908599445,Jacob,Wagner,16.64,192,44
580987,6336456598,Salvatore,Warren,18.78,189,19
581979,1545158606,Steven,Arnold,19.60,143,60
582773,7369151166,Carlos,Perkins,14.72,175,33
583370,8574205803,Edmund,Lynch,16.33,127,65
584590,7224192605,Byron,Schneider,15.03,162,51
584718,4138344045,Brian,Douglas,16.73,141,63
585761,5807545158,Merle,Gregory,15.34,235,30
589438,3895730429,Orville,Wolfe,14.90,121,32
591057,4284550624,Myron,Miles,13.28,135,65
593632,8823369530,Pete,Zimmerman,19.48,220,53
594250,3825256468,Jesus,Ball,19.02,150,35
594642,3028056222,Gregory,Goodman,14.62,131,20
594752,6701222498,Grady,Malone,15.31,153,44
595167,7971438559,Malcolm,Juarez,17.79,246,59
595261,4482874364,Eldon,Hammond,14.75,180,58
595758,8866583951,Ruben,Townsend,12.52,181,39
596385,9262114100,Loren,Barton,15.48,161,22
599597,9104647879,Pat,Maxwell,14.72,250,24
600786,2563840851,Dewey,Tyler,16.29,154,46
601997,5848518301,Gerard,Norton,12.74,232,35
602455,9221843238,Sylvester,Briggs,14.52,153,28
602792,4390539798,Elbert,Carey,17.95,180,18
603639,1991882617,Rufus,Boone,14.82,246,52
604295,4346594426,Mack,Phelps,13.66,140,45
604825,1023534244,Ramon,Conway,18.94,156,25
605277,2160079760,Sammy,Bentley,14.39,136,50
606974,4681423923,Aaron,Shepard,19.02,141,19
608889,3955938915,Ross,Farley,13.23,163,46
609450,1217950303,Irvin,Krueger,18.86,245,43
610157,2334225152,Ellis,Mcpherson,16.40,239,54
610764,5778651904,Julian,Daugherty,13.43,191,35
611776,4870259428,Laurence,Archer,14.44,150,32
613012,8446328313,Isaac,Frey,14.62,216,65
615875,4617876785,Antonio,Thompson,13.44,152,21
617558,4982351554,Sheldon,Parker,15.82,246,64
618494,4845317769,Teddy,Cook,17.68,130,47
618986,1537851880,Clark,Gray,14.31,162,52
619179,9199895151,Nathan,Jordan,18.80,136,27
620186,8521323783,Neal,Hamilton,17.05,133,53
620326,7955655244,Ervin,Ellis,13.29,140,42
620487,1613513135,Conrad,Simpson,13.20,204,46
621260,8483987447,Forrest,Ferguson,14.62,184,35
621877,5409143961,Boyd,Daniels,16.79,223,43
622832,8464782062,Angelo,Gardner,16.36,172,39
623424,6585190049,Owen,Hoffman,15.02,229,39
625527,4067663920,Burton,Carroll,13.70,247,59
625864,8797216401,Jerald,Berry,15.04,152,30
626379,4649569389,Dallas,Fleming,15.88,199,31
628772,4592084307,Dwight,Dennis,17.72,246,30
628963,7785085133,Kent,Newton,15.45,228,30
629411,8603519788,Felix,Saunders,17.79,226,57
631188,1346321952,Wilfred,Hartman,12.70,142,39
631642,8726232513,Nick,Yates,16.92,229,25
632257,6134513834,Reginald,Morrow,19.09,141,46
635894,3107139657,Bert,Sweeney,18.36,178,37
637465,9319032074,Frankie,Dyer,19.93,156,45
637589,1864630191,Aubrey,Eaton,12.86,123,62
637931,1822210676,Darrel,Merritt,18.00,231,29
642394,3867629084,Garland,Roach,15.20,173,35
643222,1289563886,Noel,Leach,15.10,247,54
646940,8547568165,Loyd,Ayers,13.30,184,37
648632,8471998977,Harley,Avery,16.64,179,43
652645,3153427784,Preston,Benton,16.21,214,34
652855,7615027901,Woodrow,Hayden,19.02,121,50
653496,5621115573,Randall,Novak,12.73,128,36
654646,2773356417,Percy,Hays,14.52,227,31
655196,5045024032,Wilson,Lutz,12.51,228,49
655735,3149366020,Rudy,Cooke,19.20,225,36
655882,6796236597,Marlin,Lewis,14.82,189,53
657868,8470775687,Irving,Baker,19.06,194,26
657960,8516230659,Shirley,Adams,13.03,227,33
658072,2784169271,Louie,Phillips,19.95,236,45
658902,5367865285,Harlan,Burns,12.84,152,21
660793,5633265042,Norbert,Gordon,19.30,221,37
661247,4090899738,Craig,Palmer,15.82,137,27
663408,2528014830,Elwood,Carpenter,13.38,136,24
664507,9084321935,Pedro,Franklin,14.01,110,30
664827,8585245384,Royce,Montgomery,18.82,121,53
665189,2122587872,Travis,Welch,12.70,236,33
666420,9754111636,Emmett,Leonard,17.10,208,27
666878,9560777078,Wade,Becker,19.56,181,59
670309,6728733587,Laverne,Lyons,12.70,121,35
672854,3351136386,Eric,Love,18.47,137,28
672938,6422804798,Johnie,Sharp,15.61,192,27
673107,6690044802,Sammie,Stevenson,14.09,169,59
676568,7241584842,August,Fischer,15.51,174,33
681941,2152821296,Randolph,Bauer,12.92,167,31
682085,1668494064,Darwin,Allison,15.88,193,61
682974,4219798534,Francisco,Tanner,15.02,198,58
685234,6297694864,Christopher,Preston,16.50,231,23
686529,3819674764,Grover,Shannon,19.02,140,59
687762,5129783983,Kermit,Kline,18.73,146,39
688814,7037381247,Roberto,Santana,18.51,194,18
689378,2022453298,Garry,Hull,14.49,164,57
691618,8278775771,Irwin,Mcfarland,13.30,197,25
692760,4797183921,Ned,Valentine,14.01,153,56
692849,6731696460,Phil,Bean,13.04,180,19
694237,4870365706,Mary,Huber,13.27,153,29
695224,8893753434,Gale,Levine,18.82,128,59
695804,7954443519,Amos,Jarvis,16.57,248,42
695822,9686240242,Carol,Fritz,16.96,167,37
696883,2491649207,Maynard,Wilson,15.74,132,31
697972,6378437792,Cornelius,Foster,15.51,234,21
699618,8997607372,Moses,Ross,15.03,155,50
700070,8298151580,Emil,Sullivan,17.04,240,51
702309,5440735824,Grant,Perry,12.75,181,61
702610,6396543907,Otto,Kennedy,17.89,199,52
703140,4530136201,Mario,Snyder,14.78,126,23
704107,5915232932,Alfonso,Schmidt,13.57,212,58
704303,7272003727,Ed,Hart,16.79,127,39
704865,9121466438,Edmond,Willis,17.68,199,57
705064,2152949920,Luis,Bishop,16.77,224,53
705525,5736208520,Millard,Weber,16.89,118,39
708222,8666685795,Raul,Fuller,13.48,164,35
708596,1886708815,Dominic,Walters,13.44,180,53
709114,3795001604,Delmar,Davidson,13.38,205,37
712895,1229062212,Thurman,Lambert,13.84,191,31
713263,1239791156,Merlin,Schwartz,15.03,240,34
715760,4070165445,Murray,Hale,19.44,223,39
718015,7263003371,Stewart,Reeves,16.96,180,33
718767,1588113563,Dominick,Doyle,15.65,118,37
720418,8587008180,Mitchell,Brady,16.09,130,25
720514,7524420984,Lionel,Sherman,18.63,152,22
720766,7928181481,Terrence,Gallagher,18.91,132,34
722020,8372565376,Cleveland,Kramer,14.22,212,51
723087,3948934200,Jan,Gallegos,16.76,228,44
724500,7190428431,Austin,Randall,16.29,111,34
